MWGS	Breezer_MGWS	Commencal_MGWS	IronHorse_MGWS	Scott_MGWS	V1V9	Scott_V1V9	IronHorse_V1V9	Commencal_V1V9	Breezer_V1V9	V1V3	Scott_V1V3	IronHorse_V1V3	Commencal_V1V3	Breezer_V1V3
Missing	0	0	0.0	0.0	Missing	0.0	0.0	0.0	0.0	OTU_19	0.0	0.0	0.0	13.0
Missing	0	0	0.0	0.0	Missing	0.0	0.0	0.0	0.0	OTU_23	239.0	0.0	0.0	13.0
Missing	0	0	0.0	0.0	Missing	0.0	0.0	0.0	0.0	OTU_27	0.0	0.0	17.0	0.0
Missing	0	0	0.0	0.0	Missing	0.0	0.0	0.0	0.0	OTU_29	0.0	0.0	0.0	6.0
Missing	0	0	0.0	0.0	Missing	0.0	0.0	0.0	0.0	OTU_6	0.0	0.0	0.0	225.0
Missing	0	0	0.0	0.0	Missing	0.0	0.0	0.0	0.0	OTU_9	0.0	0.0	179.0	53.0
Missing	0	0	0.0	0.0	OTU_10	0.0	83.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Missing	0	0	0.0	0.0	OTU_14	0.0	0.0	0.0	24.0	Missing	0.0	0.0	0.0	0.0
Missing	0	0	0.0	0.0	OTU_9	0.0	1.0	127.0	34.0	Missing	0.0	0.0	0.0	0.0
Propionibacterium acnes	0	0	0.0	0.0	Missing	0.0	0.0	0.0	0.0	OTU_26	62.0	6.0	0.0	11.0
[Bacteroides] pectinophilus	0.0009613	0.005736	0.001078	0.0002756	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
